Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
200519,263115,11,-1,43.8194,36.2931,11.7126,-21.5815,-0.53937,0.31217,11,-1,50.6629,-22.6414,-28.2942,35.4053,0.86503,-2.24567,-11,1,51.1378,11.7215,20.056,-45.557,-1.42611,1.0419,-11,1,40.0476,-10.931,-8.07624,37.6709,1.74369,-2.50527
200519,263124,11,-1,119.938,48.0447,-0.33358,-109.894,-1.56519,-0.00694301,-11,1,72.2531,-36.1675,2.56963,-62.4965,-1.31274,3.07066,-11,1,156.746,-11.0455,29.409,-153.566,-2.2903,1.93008,11,-1,48.4717,-8.88835,-26.4927,-39.6061,-1.14802,-1.8945
