Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,180905,-13,1,60.1065,-2.35617,-28.7392,-52.7379,-1.3644,-1.6526,13,-1,27.9047,3.29352,25.4457,10.9695,0.41547,1.44208,-13,1,18.6902,-4.47251,17.7807,3.62679,0.196543,1.81722,13,-1,12.9788,8.84697,-4.57213,-8.32262,-0.760322,-0.476998
1,180917,13,-1,54.9142,-15.3741,-47.6319,22.5918,0.437299,-1.88301,-13,1,52.3848,16.0317,37.7622,32.5755,0.728018,1.16931,-11,1,25.2407,-8.34432,-13.6039,19.555,1.03208,-2.12099,11,-1,25.3475,-1.31938,-6.02052,24.5867,2.09208,-1.78653
1,180932,13,-1,43.839,-31.678,22.0812,-20.7549,-0.514491,2.53285,-13,1,63.2763,18.7627,16.4967,58.1352,1.58096,0.72122,11,-1,25.3262,-19.0929,9.62396,13.5741,0.598484,2.6747,-11,1,11.5062,9.83948,-3.10279,-5.09411,-0.475619,-0.305471
1,180935,-11,1,75.9368,37.3596,38.5976,-53.6739,-0.880806,0.801694,11,-1,61.104,-26.4185,-28.5849,-47.1027,-1.02245,-2.31683,11,-1,32.6189,25.3683,5.09523,-19.8614,-0.707162,0.198213,-11,1,10.1699,-1.22282,-9.48979,-3.44602,-0.352788,-1.69895
