Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
194533,892402,13,-1,242.647,109.436,-61.272,-207.718,-1.27838,-0.510403,13,-1,161.85,-113.054,39.5202,108.869,0.815572,2.8053,-13,1,17.3372,16.0434,5.74992,3.18022,0.185537,0.344137,-13,1,17.7082,-3.67179,15.7623,-7.18594,-0.430578,1.79966
194533,892405,-13,1,31.6684,12.2162,29.2109,0.603327,0.0190538,1.17469,13,-1,21.4627,16.1833,-1.97487,-13.9584,-0.775928,-0.12143,-13,1,39.203,-14.9541,2.57248,-36.1472,-1.60257,2.97124,13,-1,22.0653,-4.09983,1.66675,-21.6167,-2.28951,2.75546
194533,892416,-13,1,67.6113,37.5106,-46.7543,-31.2773,-0.50062,-0.89466,-13,1,68.3704,-22.3811,-0.0797832,-64.6032,-1.78193,-3.13803,13,-1,84.9098,-6.05738,15.4891,-83.265,-2.31371,1.94358,13,-1,17.3876,8.17959,14.4357,-5.19848,-0.308401,1.05528
194533,892418,13,-1,42.7826,-16.0534,27.2111,28.8477,0.818563,2.1038,13,-1,108.56,-22.8483,21.2248,103.984,1.9192,2.39301,-13,1,9.98212,-2.25721,9.41713,2.41955,0.247324,1.80605,-13,1,12.0796,-5.02329,6.52249,-8.83907,-0.932513,2.22707
