Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,191448,13,-1,57.2648,-9.78696,-13.3668,-54.816,-1.91182,-2.2028,-13,1,48.9064,-8.86152,-8.67086,-47.3088,-2.04905,-2.36707,-13,1,7.9131,0.875875,7.78167,-1.13333,-0.144227,1.45871,11,-1,257.043,41.7443,70.5901,-243.609,-1.80908,1.03675
1,9061,13,-1,87.7444,21.5045,-4.41586,-84.9536,-2.06263,-0.20253,-11,1,31.697,-31.6164,-1.95385,1.1323,0.035738,-3.07987,-11,1,46.5105,12.2818,8.14651,44.1137,1.81629,0.585668,-11,1,6.80544,-4.3507,2.24492,4.72714,0.856811,2.66523
1,254,-13,1,19.2044,7.86932,9.17907,14.9203,1.03759,0.862073,11,-1,148.766,57.6412,3.9144,-137.089,-1.59895,0.0678056,-11,1,10.5903,3.68429,6.59421,7.42268,0.869061,1.06129,11,-1,8.54812,3.14098,5.22505,5.99195,0.8692,1.02954
