Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
193998,105129118,13,-1,20.9563,-18.3877,1.4009,-9.95426,-0.516516,3.06555,-13,1,21.6005,8.59766,-6.8953,18.577,1.29349,-0.675958,11,-1,5.35466,4.1215,2.77875,1.99102,0.390544,0.593204,-11,1,3.85811,3.02523,1.90808,1.44644,0.394122,0.562703
193998,265313350,-13,1,24.2941,22.838,4.06868,-7.21567,-0.306243,0.176304,13,-1,7.53724,7.03443,1.43947,-2.28985,-0.31374,0.201846,-11,1,59.3121,13.0317,-47.5213,-33.0125,-0.627879,-1.30315,11,-1,41.771,-25.132,15.6893,-29.4456,-0.877033,2.58351
193998,45781635,13,-1,100.921,37.9288,-1.10326,93.5158,1.63397,-0.0290794,-13,1,38.7062,-17.3913,9.54789,33.2346,1.28815,2.63951,-13,1,39.5428,-19.554,-0.724217,34.3618,1.32891,-3.10457,13,-1,16.7712,-8.70548,-0.312269,14.331,1.27267,-3.10574
